period,mmm_b2c_acq_dma,inbound_call_volume
2018-04-29,ODESSA-MIDLAND TX,154
2018-04-29,OKLAHOMA CITY OK,153
2018-04-29,PARKERSBURG WV,137
2018-04-29,PHOENIX AZ,322
2018-04-29,RALEIGH-DURHAM NC,176
2018-04-29,SAN ANGELO TX,91
2018-04-29,SHREVEPORT LA,207
2018-04-29,SPRINGFIELD MO,193
2018-04-29,ST JOSEPH MO,80
2018-04-29,TULSA OK,83
2018-04-29,TYLER-LONGVIEW TX,325
2018-04-29,VICTORIA TX,57
2018-04-29,WACO-TEMPLE-BRYAN TX,133
2018-05-06,ABILENE-SWEETWATER TX,160
2018-05-06,ALEXANDRIA LA,206
2018-05-06,AMARILLO TX,259
2018-05-06,AUSTIN TX,153
2018-05-06,All Other Suddenlink DMA Total,636
2018-05-06,BLUEFIELD-BECKLEY-OAK HILL WV,186
2018-05-06,CHARLESTON-HUNTINGTON WV,397
2018-05-06,DALLAS-FT WORTH TX,419
2018-05-06,EUREKA CA,76
2018-05-06,GREENVILLE-NEW BERN-WASH NC,302
2018-05-06,HOUSTON TX,411
2018-05-06,JONESBORO AR,90
2018-05-06,LAKE CHARLES LA,198
2018-05-06,LITTLE ROCK AR,251
2018-05-06,LUBBOCK TX,333
2018-05-06,MONROE-EL DORADO LA-AR,110
2018-05-06,"NEW YORK, NY",8665
2018-05-06,ODESSA-MIDLAND TX,185
2018-05-06,OKLAHOMA CITY OK,177
2018-05-06,PARKERSBURG WV,121
2018-05-06,PHOENIX AZ,347
2018-05-06,RALEIGH-DURHAM NC,161
2018-05-06,SAN ANGELO TX,129
2018-05-06,SHREVEPORT LA,222
2018-05-06,SPRINGFIELD MO,169
2018-05-06,ST JOSEPH MO,62
2018-05-06,TULSA OK,82
2018-05-06,TYLER-LONGVIEW TX,441
2018-05-06,VICTORIA TX,48
2018-05-06,WACO-TEMPLE-BRYAN TX,193
2018-05-13,ABILENE-SWEETWATER TX,148
2018-05-13,ALEXANDRIA LA,198
2018-05-13,AMARILLO TX,249
2018-05-13,AUSTIN TX,166
2018-05-13,All Other Suddenlink DMA Total,496
2018-05-13,BLUEFIELD-BECKLEY-OAK HILL WV,162
2018-05-13,CHARLESTON-HUNTINGTON WV,288
2018-05-13,DALLAS-FT WORTH TX,355
2018-05-13,EUREKA CA,67
2018-05-13,GREENVILLE-NEW BERN-WASH NC,261
2018-05-13,HOUSTON TX,306
2018-05-13,JONESBORO AR,89
2018-05-13,LAKE CHARLES LA,195
2018-05-13,LITTLE ROCK AR,221
2018-05-13,LUBBOCK TX,265
2018-05-13,MONROE-EL DORADO LA-AR,99
2018-05-13,"NEW YORK, NY",8945
2018-05-13,ODESSA-MIDLAND TX,188
2018-05-13,OKLAHOMA CITY OK,190
2018-05-13,PARKERSBURG WV,114
2018-05-13,PHOENIX AZ,308
2018-05-13,RALEIGH-DURHAM NC,153
2018-05-13,SAN ANGELO TX,108
2018-05-13,SHREVEPORT LA,249
2018-05-13,SPRINGFIELD MO,142
2018-05-13,ST JOSEPH MO,66
2018-05-13,TULSA OK,69
2018-05-13,TYLER-LONGVIEW TX,372
2018-05-13,VICTORIA TX,48
2018-05-13,WACO-TEMPLE-BRYAN TX,167
2018-05-20,ABILENE-SWEETWATER TX,167
2018-05-20,ALEXANDRIA LA,205
2018-05-20,AMARILLO TX,208
2018-05-20,AUSTIN TX,167
2018-05-20,All Other Suddenlink DMA Total,506
2018-05-20,BLUEFIELD-BECKLEY-OAK HILL WV,174
2018-05-20,CHARLESTON-HUNTINGTON WV,309
2018-05-20,DALLAS-FT WORTH TX,349
2018-05-20,EUREKA CA,59
2018-05-20,GREENVILLE-NEW BERN-WASH NC,253
2018-05-20,HOUSTON TX,307
2018-05-20,JONESBORO AR,77
2018-05-20,LAKE CHARLES LA,188
2018-05-20,LITTLE ROCK AR,208
2018-05-20,LUBBOCK TX,300
2018-05-20,MONROE-EL DORADO LA-AR,109
2018-05-20,"NEW YORK, NY",8708
2018-05-20,ODESSA-MIDLAND TX,178
2018-05-20,OKLAHOMA CITY OK,193
2018-05-20,PARKERSBURG WV,111
2018-05-20,PHOENIX AZ,323
2018-05-20,RALEIGH-DURHAM NC,136
2018-05-20,SAN ANGELO TX,89
2018-05-20,SHREVEPORT LA,205
2018-05-20,SPRINGFIELD MO,141
2018-05-20,ST JOSEPH MO,57
2018-05-20,TULSA OK,58
2018-05-20,TYLER-LONGVIEW TX,320
2018-05-20,VICTORIA TX,66
2018-05-20,WACO-TEMPLE-BRYAN TX,150
2018-05-27,ABILENE-SWEETWATER TX,168
2018-05-27,ALEXANDRIA LA,203
2018-05-27,AMARILLO TX,281
2018-05-27,AUSTIN TX,170
2018-05-27,All Other Suddenlink DMA Total,500
2018-05-27,BLUEFIELD-BECKLEY-OAK HILL WV,207
2018-05-27,CHARLESTON-HUNTINGTON WV,353
2018-05-27,DALLAS-FT WORTH TX,387
2018-05-27,EUREKA CA,52
2018-05-27,GREENVILLE-NEW BERN-WASH NC,255
2018-05-27,HOUSTON TX,320
2018-05-27,JONESBORO AR,105
2018-05-27,LAKE CHARLES LA,176
2018-05-27,LITTLE ROCK AR,200
2018-05-27,LUBBOCK TX,340
