period,mmm_b2c_acq_dma,unique_pageviews,users
2021-01-10,JONESBORO AR,438.0,394.0
2021-01-10,LAKE CHARLES LA,674.0,617.0
2021-01-10,LITTLE ROCK AR,1645.0,1467.0
2021-01-10,LUBBOCK TX,1109.0,1003.0
2021-01-10,MONROE-EL DORADO LA-AR,428.0,376.0
2021-01-10,"NEW YORK, NY",34463.0,30663.0
2021-01-10,ODESSA-MIDLAND TX,752.0,669.0
2021-01-10,OKLAHOMA CITY OK,949.0,843.0
2021-01-10,PARKERSBURG WV,671.0,604.0
2021-01-10,PHOENIX AZ,1686.0,1485.0
2021-01-10,RALEIGH-DURHAM NC,504.0,465.0
2021-01-10,SAN ANGELO TX,505.0,450.0
2021-01-10,SHREVEPORT LA,1000.0,900.0
2021-01-10,SPRINGFIELD MO,1243.0,1075.0
2021-01-10,ST JOSEPH MO,321.0,291.0
2021-01-10,TULSA OK,402.0,367.0
2021-01-10,TYLER-LONGVIEW TX,2262.0,2022.0
2021-01-10,VICTORIA TX,309.0,281.0
2021-01-10,WACO-TEMPLE-BRYAN TX,1076.0,979.0
2021-01-17,ABILENE-SWEETWATER TX,640.0,579.0
2021-01-17,ALEXANDRIA LA,670.0,623.0
2021-01-17,AMARILLO TX,883.0,784.0
2021-01-17,AUSTIN TX,1486.0,1324.0
2021-01-17,All Other Suddenlink DMA Total,3223.0,2848.0
2021-01-17,BLUEFIELD-BECKLEY-OAK HILL WV,891.0,791.0
2021-01-17,CHARLESTON-HUNTINGTON WV,1709.0,1518.0
2021-01-17,DALLAS-FT WORTH TX,2937.0,2592.0
2021-01-17,EUREKA CA,501.0,436.0
2021-01-17,GREENVILLE-NEW BERN-WASH NC,1480.0,1318.0
2021-01-17,HOUSTON TX,2254.0,2006.0
2021-01-17,JONESBORO AR,408.0,372.0
2021-01-17,LAKE CHARLES LA,588.0,512.0
2021-01-17,LITTLE ROCK AR,1477.0,1324.0
2021-01-17,LUBBOCK TX,1072.0,958.0
2021-01-17,MONROE-EL DORADO LA-AR,381.0,340.0
2021-01-17,"NEW YORK, NY",33554.0,29942.0
2021-01-17,ODESSA-MIDLAND TX,724.0,642.0
2021-01-17,OKLAHOMA CITY OK,827.0,750.0
2021-01-17,PARKERSBURG WV,564.0,502.0
2021-01-17,PHOENIX AZ,1624.0,1446.0
2021-01-17,RALEIGH-DURHAM NC,508.0,463.0
2021-01-17,SAN ANGELO TX,483.0,426.0
2021-01-17,SHREVEPORT LA,941.0,831.0
2021-01-17,SPRINGFIELD MO,1058.0,932.0
2021-01-17,ST JOSEPH MO,288.0,264.0
2021-01-17,TULSA OK,335.0,292.0
2021-01-17,TYLER-LONGVIEW TX,2123.0,1903.0
2021-01-17,VICTORIA TX,288.0,248.0
2021-01-17,WACO-TEMPLE-BRYAN TX,1012.0,897.0
