period,mmm_b2c_acq_dma,gross_add_tot,gross_add_true
2017-03-26,LAKE CHARLES LA,297,222
2017-03-26,LITTLE ROCK AR,289,203
2017-03-26,LUBBOCK TX,397,284
2017-03-26,MONROE-EL DORADO LA-AR,104,76
2017-03-26,ODESSA-MIDLAND TX,240,184
2017-03-26,OKLAHOMA CITY OK,274,203
2017-03-26,PARKERSBURG WV,138,99
2017-03-26,PHOENIX AZ,457,347
2017-03-26,RALEIGH-DURHAM NC,119,99
2017-03-26,SAN ANGELO TX,240,167
2017-03-26,SHREVEPORT LA,306,241
2017-03-26,SPRINGFIELD MO,209,146
2017-03-26,ST JOSEPH MO,117,87
2017-03-26,TULSA OK,97,72
2017-03-26,TYLER-LONGVIEW TX,498,331
2017-03-26,VICTORIA TX,122,75
2017-03-26,WACO-TEMPLE-BRYAN TX,190,132
2017-04-02,ABILENE-SWEETWATER TX,291,187
2017-04-02,ALEXANDRIA LA,224,164
2017-04-02,AMARILLO TX,461,295
2017-04-02,AUSTIN TX,195,160
2017-04-02,All Other Suddenlink DMA Total,810,552
2017-04-02,BLUEFIELD-BECKLEY-OAK HILL WV,173,129
2017-04-02,CHARLESTON-HUNTINGTON WV,441,322
2017-04-02,DALLAS-FT WORTH TX,420,364
2017-04-02,EUREKA CA,136,96
2017-04-02,GREENVILLE-NEW BERN-WASH NC,436,317
2017-04-02,HOUSTON TX,435,332
2017-04-02,JONESBORO AR,172,122
2017-04-02,LAKE CHARLES LA,280,206
2017-04-02,LITTLE ROCK AR,276,207
2017-04-02,LUBBOCK TX,334,227
2017-04-02,MONROE-EL DORADO LA-AR,105,77
2017-04-02,ODESSA-MIDLAND TX,259,192
2017-04-02,OKLAHOMA CITY OK,261,191
2017-04-02,PARKERSBURG WV,141,100
2017-04-02,PHOENIX AZ,459,352
2017-04-02,RALEIGH-DURHAM NC,128,94
2017-04-02,SAN ANGELO TX,240,172
2017-04-02,SHREVEPORT LA,282,210
2017-04-02,SPRINGFIELD MO,247,179
2017-04-02,ST JOSEPH MO,132,92
2017-04-02,TULSA OK,105,84
2017-04-02,TYLER-LONGVIEW TX,474,319
2017-04-02,VICTORIA TX,96,67
2017-04-02,WACO-TEMPLE-BRYAN TX,204,156
2017-04-09,ABILENE-SWEETWATER TX,216,146
2017-04-09,ALEXANDRIA LA,215,159
2017-04-09,AMARILLO TX,381,256
2017-04-09,AUSTIN TX,175,153
2017-04-09,All Other Suddenlink DMA Total,715,507
2017-04-09,BLUEFIELD-BECKLEY-OAK HILL WV,135,101
2017-04-09,CHARLESTON-HUNTINGTON WV,399,298
2017-04-09,DALLAS-FT WORTH TX,349,303
2017-04-09,EUREKA CA,138,111
2017-04-09,GREENVILLE-NEW BERN-WASH NC,347,255
2017-04-09,HOUSTON TX,354,294
2017-04-09,JONESBORO AR,131,90
2017-04-09,LAKE CHARLES LA,204,172
2017-04-09,LITTLE ROCK AR,268,201
2017-04-09,LUBBOCK TX,286,203
2017-04-09,MONROE-EL DORADO LA-AR,93,67
2017-04-09,ODESSA-MIDLAND TX,206,163
2017-04-09,OKLAHOMA CITY OK,228,155
2017-04-09,PARKERSBURG WV,129,102
2017-04-09,PHOENIX AZ,500,384
2017-04-09,RALEIGH-DURHAM NC,95,78
2017-04-09,SAN ANGELO TX,223,155
2017-04-09,SHREVEPORT LA,213,160
2017-04-09,SPRINGFIELD MO,187,143
2017-04-09,ST JOSEPH MO,103,73
2017-04-09,TULSA OK,89,63
2017-04-09,TYLER-LONGVIEW TX,458,330
2017-04-09,VICTORIA TX,102,68
2017-04-09,WACO-TEMPLE-BRYAN TX,201,141
2017-04-16,ABILENE-SWEETWATER TX,259,187
2017-04-16,ALEXANDRIA LA,182,135
2017-04-16,AMARILLO TX,338,229
2017-04-16,AUSTIN TX,175,147
2017-04-16,All Other Suddenlink DMA Total,671,489
2017-04-16,BLUEFIELD-BECKLEY-OAK HILL WV,134,100
2017-04-16,CHARLESTON-HUNTINGTON WV,372,290
2017-04-16,DALLAS-FT WORTH TX,323,288
2017-04-16,EUREKA CA,116,93
2017-04-16,GREENVILLE-NEW BERN-WASH NC,300,229
2017-04-16,HOUSTON TX,335,272
2017-04-16,JONESBORO AR,111,74
2017-04-16,LAKE CHARLES LA,217,169
2017-04-16,LITTLE ROCK AR,240,178
2017-04-16,LUBBOCK TX,287,221
2017-04-16,MONROE-EL DORADO LA-AR,79,62
2017-04-16,ODESSA-MIDLAND TX,218,176
2017-04-16,OKLAHOMA CITY OK,220,160
2017-04-16,PARKERSBURG WV,110,84
2017-04-16,PHOENIX AZ,384,268
2017-04-16,RALEIGH-DURHAM NC,81,66
2017-04-16,SAN ANGELO TX,187,139
2017-04-16,SHREVEPORT LA,202,151
2017-04-16,SPRINGFIELD MO,156,116
2017-04-16,ST JOSEPH MO,105,74
2017-04-16,TULSA OK,75,52
2017-04-16,TYLER-LONGVIEW TX,402,281
2017-04-16,VICTORIA TX,93,70
2017-04-16,WACO-TEMPLE-BRYAN TX,145,115
2017-04-23,ABILENE-SWEETWATER TX,270,162
2017-04-23,ALEXANDRIA LA,194,151
2017-04-23,AMARILLO TX,393,252
2017-04-23,AUSTIN TX,213,166
2017-04-23,All Other Suddenlink DMA Total,710,502
2017-04-23,BLUEFIELD-BECKLEY-OAK HILL WV,151,114
2017-04-23,CHARLESTON-HUNTINGTON WV,407,296
2017-04-23,DALLAS-FT WORTH TX,370,303
2017-04-23,EUREKA CA,137,96
2017-04-23,GREENVILLE-NEW BERN-WASH NC,323,231
2017-04-23,HOUSTON TX,348,275
2017-04-23,JONESBORO AR,127,80
2017-04-23,LAKE CHARLES LA,190,146
2017-04-23,LITTLE ROCK AR,234,173
2017-04-23,LUBBOCK TX,368,257
2017-04-23,MONROE-EL DORADO LA-AR,69,49
2017-04-23,ODESSA-MIDLAND TX,232,177
2017-04-23,OKLAHOMA CITY OK,240,167
2017-04-23,PARKERSBURG WV,126,92
2017-04-23,PHOENIX AZ,456,337
2017-04-23,RALEIGH-DURHAM NC,94,75
2017-04-23,SAN ANGELO TX,223,152
2017-04-23,SHREVEPORT LA,209,155
2017-04-23,SPRINGFIELD MO,186,130
2017-04-23,ST JOSEPH MO,104,76
2017-04-23,TULSA OK,80,56
2017-04-23,TYLER-LONGVIEW TX,421,284
2017-04-23,VICTORIA TX,99,64
2017-04-23,WACO-TEMPLE-BRYAN TX,190,122
2017-04-30,ABILENE-SWEETWATER TX,317,218
2017-04-30,ALEXANDRIA LA,188,141
2017-04-30,AMARILLO TX,472,286
2017-04-30,AUSTIN TX,232,183
2017-04-30,All Other Suddenlink DMA Total,942,596
2017-04-30,BLUEFIELD-BECKLEY-OAK HILL WV,186,124
2017-04-30,CHARLESTON-HUNTINGTON WV,526,381
2017-04-30,DALLAS-FT WORTH TX,403,337
2017-04-30,EUREKA CA,151,113
2017-04-30,GREENVILLE-NEW BERN-WASH NC,392,272
2017-04-30,HOUSTON TX,398,295
2017-04-30,JONESBORO AR,166,111
2017-04-30,LAKE CHARLES LA,226,160
2017-04-30,LITTLE ROCK AR,269,191
2017-04-30,LUBBOCK TX,381,256
2017-04-30,MONROE-EL DORADO LA-AR,123,89
2017-04-30,ODESSA-MIDLAND TX,252,192
2017-04-30,OKLAHOMA CITY OK,316,226
2017-04-30,PARKERSBURG WV,135,105
2017-04-30,PHOENIX AZ,482,359
2017-04-30,RALEIGH-DURHAM NC,125,104
2017-04-30,SAN ANGELO TX,283,187
2017-04-30,SHREVEPORT LA,287,210
2017-04-30,SPRINGFIELD MO,261,180
2017-04-30,ST JOSEPH MO,131,86
2017-04-30,TULSA OK,119,91
2017-04-30,TYLER-LONGVIEW TX,438,294
2017-04-30,VICTORIA TX,131,82
2017-04-30,WACO-TEMPLE-BRYAN TX,253,184
2017-05-07,ABILENE-SWEETWATER TX,260,192
2017-05-07,ALEXANDRIA LA,175,136
2017-05-07,AMARILLO TX,427,279
2017-05-07,AUSTIN TX,180,147
2017-05-07,All Other Suddenlink DMA Total,796,580
2017-05-07,BLUEFIELD-BECKLEY-OAK HILL WV,164,127
2017-05-07,CHARLESTON-HUNTINGTON WV,408,329
2017-05-07,DALLAS-FT WORTH TX,367,306
2017-05-07,EUREKA CA,142,110
2017-05-07,GREENVILLE-NEW BERN-WASH NC,392,297
2017-05-07,HOUSTON TX,351,275
2017-05-07,JONESBORO AR,145,96
2017-05-07,LAKE CHARLES LA,260,204
2017-05-07,LITTLE ROCK AR,311,233
2017-05-07,LUBBOCK TX,313,219
2017-05-07,MONROE-EL DORADO LA-AR,110,86
2017-05-07,ODESSA-MIDLAND TX,198,160
2017-05-07,OKLAHOMA CITY OK,263,180
2017-05-07,PARKERSBURG WV,108,83
2017-05-07,PHOENIX AZ,487,383
2017-05-07,RALEIGH-DURHAM NC,96,86
2017-05-07,SAN ANGELO TX,216,154
2017-05-07,SHREVEPORT LA,228,175
2017-05-07,SPRINGFIELD MO,193,144
2017-05-07,ST JOSEPH MO,98,68
2017-05-07,TULSA OK,130,108
2017-05-07,TYLER-LONGVIEW TX,449,317
2017-05-07,VICTORIA TX,89,58
2017-05-07,WACO-TEMPLE-BRYAN TX,193,138
2017-05-14,ABILENE-SWEETWATER TX,345,254
2017-05-14,ALEXANDRIA LA,166,130
2017-05-14,AMARILLO TX,376,243
2017-05-14,AUSTIN TX,227,188
2017-05-14,All Other Suddenlink DMA Total,714,520
2017-05-14,BLUEFIELD-BECKLEY-OAK HILL WV,151,112
2017-05-14,CHARLESTON-HUNTINGTON WV,404,321
2017-05-14,DALLAS-FT WORTH TX,358,310
2017-05-14,EUREKA CA,156,118
2017-05-14,GREENVILLE-NEW BERN-WASH NC,355,251
2017-05-14,HOUSTON TX,409,318
2017-05-14,JONESBORO AR,147,103
2017-05-14,LAKE CHARLES LA,246,192
2017-05-14,LITTLE ROCK AR,289,226
2017-05-14,LUBBOCK TX,319,223
2017-05-14,MONROE-EL DORADO LA-AR,99,71
2017-05-14,ODESSA-MIDLAND TX,221,181
2017-05-14,OKLAHOMA CITY OK,280,209
2017-05-14,PARKERSBURG WV,146,111
2017-05-14,PHOENIX AZ,576,476
2017-05-14,RALEIGH-DURHAM NC,92,75
2017-05-14,SAN ANGELO TX,245,178
2017-05-14,SHREVEPORT LA,230,183
2017-05-14,SPRINGFIELD MO,222,175
